Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Oxidative Phosphorylation,-0.5370061783697,-2.55813690635723,0.0,0.0,0.0,99/198,19.12%,ATP5F1C;COX5A;SLC25A5;ATP5F1B;TIMM8B;ATP5MF;IDH2;UQCR10;COX6A1;NDUFS6;VDAC1;ATP5F1E;ATP6V0B;UQCRC1;NDUFA2;ATP5MC3;ETFB;ATP6V1F;OGDH;NDUFB6;ATP5PB;NDUFA9;HSD17B10;NDUFA6;CPT1A;NDUFS7;ECH1;FXN;NDUFC2;BDH2;ETFA;NDUFB2;NDUFAB1;COX6B1;MDH1;SLC25A12;LDHA;SLC25A20;IMMT;GPI;NDUFA7;ATP6V1D;MRPS12;PDHB;COX7B;NDUFS3;CS;MDH2;HADHB;ALAS1;DECR1;ATP5PF;CYB5R3;TIMM13;COX6C;MRPL15;UQCRH;CYC1;POR;LDHB;NDUFS2;PRDX3;SUCLG1;SLC25A3;NNT;UQCRQ;ACAA2;NQO2;IDH3G;VDAC3;ECI1;NDUFS8;NDUFA8;ACAA1;TIMM17A;GLUD1;VDAC2;DLD;UQCRFS1;MRPS22;COX5B;IDH3B;MRPS11;PMPCA;NDUFB3;RETSAT;MRPL35;FH;ATP5PD;PDP1;NDUFB4;RHOT1;POLR2F;IDH1;BCKDHA;NDUFB5;ACO2;HTRA2;AIFM1,CD4_Tem
prerank,Interferon Alpha Response,-0.5915220836780173,-2.474017780547529,0.0,0.0,0.0,52/94,17.38%,CD74;PARP12;UBE2L6;OASL;IL7;CCRL2;PSME2;LAP3;TRIM25;IRF7;PSMB8;ISG15;IFIT3;LGALS3BP;OAS1;EPSTI1;NMI;CNP;PSME1;PARP9;USP18;STAT2;GBP4;LY6E;IRF9;IFITM1;SELL;MX1;PLSCR1;HELZ2;GBP2;RTP4;SAMD9L;TAP1;PARP14;IFI35;CD47;PSMA3;ADAR;RSAD2;TRIM21;WARS1;TMEM140;CMPK2;IFI27;OGFR;EIF2AK2;ISG20;IFI44L;TRAFD1;IFITM2;PSMB9,CD4_Tem
prerank,G2-M Checkpoint,-0.5233016591974756,-2.421001195916199,0.0,0.0,0.0,77/186,18.14%,SMC4;KNL1;CENPE;EZH2;LMNB1;JPT1;NUSAP1;DR1;CKS2;HMGA1;KIF11;H2BC12;RAD23B;HMGB3;SQLE;MAP3K20;TOP2A;BARD1;CENPF;CHEK1;PRC1;TPX2;SS18;FBXO5;NSD2;PML;CUL4A;KIF5B;KIF23;KIF2C;CDC25B;TFDP1;E2F2;CHMP1A;KIF22;TACC3;HSPA8;ODF2;KPNA2;PLK4;CCNF;KATNA1;STMN1;UPF1;CDKN3;H2AZ2;NDC80;MKI67;NASP;CUL3;SYNCRIP;RACGAP1;NUP50;KIF20B;E2F3;MT2A;CCNB2;TLE3;GINS2;BUB1;UCK2;KIF4A;E2F1;UBE2S;LBR;EXO1;EFNA5;ORC6;SMARCC1;RBM14;ABL1;MCM5;BRCA2;HNRNPD;TOP1;GSPT1;PAFAH1B1,CD4_Tem
prerank,Interferon Gamma Response,-0.5068697587491457,-2.351517756778925,0.0,0.0,0.0,84/177,17.69%,CD74;CD38;PSMB2;PARP12;UBE2L6;SAMHD1;OASL;MVP;IL7;NCOA3;PSME2;PSMA2;LAP3;TRIM25;MYD88;IRF7;PSMB8;ISG15;IFIT3;ITGB7;LGALS3BP;RBCK1;ARID5B;PML;EPSTI1;CASP4;NMI;PSMB10;MTHFD2;PSME1;APOL6;CASP3;OAS2;NAMPT;USP18;TNFSF10;STAT2;GBP4;LY6E;RNF213;SPPL2A;IRF9;XAF1;MX1;IL10RA;PLSCR1;HELZ2;GCH1;RTP4;SAMD9L;TAP1;PARP14;IRF4;CIITA;IFI35;CD274;IFIT1;ZNFX1;PSMA3;IRF5;MT2A;TOR1B;VAMP8;ADAR;RSAD2;TRIM21;WARS1;CMPK2;OAS3;NUP93;PELI1;IFI27;OGFR;EIF4E3;EIF2AK2;TAPBP;ISG20;IFI44L;TRAFD1;IFITM2;PFKP;PSMB9;ISOC1;SOD2,CD4_Tem
prerank,mTORC1 Signaling,-0.4516823693980921,-2.1094736222076422,0.0,0.0,0.0,83/191,19.84%,PSMA4;SHMT2;SEC11A;SLC6A6;BCAT1;PSMD13;HPRT1;PFKL;GAPDH;SQLE;PSMC2;PHGDH;SLC1A4;PSMC4;RPN1;LDLR;CTSC;ACTR2;TRIB3;TXNRD1;CFP;ELOVL5;MTHFD2;NFYC;ITGB2;NAMPT;LDHA;TUBG1;IMMT;GPI;CORO1A;PSAT1;CCNF;PIK3R3;COPS5;ATP6V1D;PSMD14;SRD5A1;SLC1A5;ENO1;YKT6;PRDX1;CCT6A;TPI1;STARD4;DHCR24;DAPP1;NFKBIB;MAP2K3;ACTR3;PSMA3;GSR;EEF1E1;RIT1;FDXR;ACLY;CALR;SCD;BUB1;RRM2;PSMC6;WARS1;PGM1;SLC2A3;CYB5B;ETF1;EIF2S2;ADD3;PPIA;TFRC;SDF2L1;PITPNB;PGK1;INSIG1;MCM4;UBE2D3;PSME3;QDPR;IDH1;EBP;HSPA4;RPA1;NMT1,CD4_Tem
prerank,Mitotic Spindle,-0.449728589815335,-2.1048077744543074,0.0,0.0,0.0,66/186,14.54%,SMC4;CAPZB;CENPE;LMNB1;NUSAP1;MYO1E;FLNB;NET1;KIF11;PPP4R2;PALLD;BCL2L11;ACTN4;ECT2;ARHGEF11;MARK4;TOP2A;TLK1;CENPF;RHOF;SPTBN1;PRC1;TPX2;WASF2;FBXO5;KIF5B;KIF23;KIF2C;ATG4B;PDLIM5;TBCD;PCNT;PXN;SEPTIN9;KIF22;BIN1;ARL8A;MAP1S;YWHAE;KATNA1;KIF3C;PREX1;KPTN;ARHGAP4;CKAP5;NDC80;PKD2;RACGAP1;KIF20B;FLNA;BCR;ANLN;CCNB2;HOOK3;EZR;BUB1;SAC3D1;MYH9;KIF4A;NCK1;CDC42;RALBP1;SMC3;TSC1;MAPRE1;NIN,CD4_Tem
prerank,PI3K/AKT/mTOR  Signaling,-0.48852026958601147,-2.0584691750272057,0.0,0.00031379490686728087,0.001,39/94,14.17%,PFN1;ARPC3;PPP1CA;YWHAB;UBE2N;AP2M1;CSNK2B;MYD88;RPS6KA1;LCK;CFL1;IL2RG;PRKAG1;ACTR2;TRIB3;RAC1;PLCG1;IL4;MKNK2;RALB;STAT2;PIK3R3;MAPK1;DAPP1;GRB2;NFKBIB;MAP2K3;ACTR3;DUSP3;RIT1;TRAF2;CALR;HRAS;PTEN;CLTC;NCK1;E2F1;PTPN11;PIN1,CD4_Tem
prerank,E2F Targets,-0.4239934226466632,-1.9649544329742,0.0,0.0013728527175443537,0.005,76/192,21.68%,SMC4;CENPE;EZH2;LMNB1;JPT1;SMC6;CKS2;HMGA1;HMGB3;HELLS;TOP2A;BARD1;DCTPP1;CHEK1;WEE1;KIF2C;CDC25B;BUB1B;KIF22;MTHFD2;TACC3;EED;TUBG1;NME1;KPNA2;PLK4;TUBB;STMN1;CDKN3;MELK;SLBP;MKI67;ING3;NASP;SYNCRIP;PCNA;RACGAP1;GINS1;CCNB2;UBE2T;DIAPH3;RRM2;RNASEH2A;CCNE1;PPM1D;SNRPB;KIF4A;POP7;RAD50;UBE2S;DONSON;SHMT1;LBR;NAA38;SMC3;PAICS;ORC6;NCAPD2;TFRC;RAD51AP1;MCM5;BRCA2;MCM4;HNRNPD;GSPT1;PPP1R8;GINS3;CCP110;BIRC5;RPA1;CTPS1;MCM2;TK1;NUDT21;SRSF2;RFC3,CD4_Tem
prerank,Cholesterol Homeostasis,-0.47250260966062546,-1.8075625769679458,0.0,0.003514502956913546,0.015,26/65,14.34%,ACTG1;GNAI1;ANXA5;FABP5;SQLE;LDLR;CHKA;PPARG;TRIB3;ECH1;PLSCR1;ETHE1;STARD4;FDPS;TP53INP1;S100A11;ACAT2;FBXO6;CPEB2;SCD;MVK;MVD;JAG1;PMVK;FASN;PCYT2,CD4_Tem
prerank,Reactive Oxygen Species Pathway,-0.5047536160747875,-1.8420530466895184,0.002457002457002457,0.003660940580118276,0.014,22/46,18.63%,PDLIM1;TXN;LAMTOR5;LSP1;NQO1;NDUFA6;TXNRD1;HMOX2;PTPA;FES;PRDX1;CAT;GSR;NDUFS2;STK25;SBNO2;EGLN2;PFKP;ABCC1;SOD2;NDUFB4;ERCC2,CD4_Tem
